Dalvik/2.1.0 (Linux; U; Android 10; SM-G970U1 Build/QP1A.190711.020) [FBAN/MessengerLite;FBAV/78.0.1.18.236;FBPN/com.facebook.mlite;FBLC/es_MX;FBBV/201616056;FBCR/TELCEL;FBMF/samsung;FBBD/samsung;FBDV/SM-G970U1;FBSV/10;FBCA/arm64-v8a:null;FBDM/{density=3.0,width=1080,height=2020};]
Dalvik/2.1.0 (Android 9; L-03K Build/PKQ1.190522.001) [FBAN/MessengerLite;FBAV/141.0.0.2.117;FBPN/com.facebook.mlite;FBLC/en_US;FBBV/293513921;FBCR/Airtel ;FBMF/Facebook;Facebook/lge;FBDV/L-03K;FBSV/9;FBCA
Dalvik/2.1.0 (Android 9; L-03K Build/PKQ1.190522.001) [FBAN/MessengerLite;FBAV/141.0.0.2.117;FBPN/com.facebook.mlite;FBLC/en_US;FBBV/293513921;FBCR/Airtel ;FBMF/LGE;FBBD/lge;Facebook/L-03K;FBSV/9;FBCA
Dalvik/2.1.0 (Android 9; L-03K Build/PKQ1.190522.001) [FBAN/MessengerLite;FBAV/141.0.0.2.117;FBPN/com.facebook.mlite;FBLC/en_US;FBBV/293513921;FBCR/Airtel ;FBMF/LGE;FBBD/lge;FBDV/L-03K;FBSV/9;FBCA
Mozilla/5.0 (Android 9.0; Desktop; rv:82.0) Gecko/20100101 Firefox/84.0
Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-A720F Build/R16NW) [FBAN/Orca-Android;FBAV/196.0.0.29.99;FBPN/com.facebook.orca;FBLC/th_TH;FBBV /135374479;FBCR/AIS;FBMF/samsung;FBBD/samsung;FBDV/SM-A720F;FBSV/8.0.0;FBCA/armeabi-v7a:armeabi;FBDM/{densitas=3.0,lebar=1080,tinggi=1920} ;FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo V3Max Build/LMY47V) [FBAN/Orca-Android;FBAV/233.0.0.16.158;FBPN/com.facebook.orca;FBLC/en_US;FBBV/172917909;FBCR/null;FBMF/vivo;FBBD/vivo;FBDV/vivo V3Max;FBSV/5.1.1;FBCA/armeabi-v7a:armeabi;FBDM/{density=3.0,width=1080,height=1920
[FBAN/FB4A;FBAV/274.0.0.46.119;FBBV/219237478;FBDM/{density=4.5,width=1440,height=2744};FBLC/en_US;FBRV/221258992;FBCR/Home;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G965U1;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/273.0.0.39.123;FBBV/218047954;FBDM/{density=1.5,width=480,height=888};FBLC/en_US;FBRV/219557400;FBCR/HOME;FBMF/TCL;FBBD/TCL;FBPN/com.facebook.katana;FBDV/A501DL;FBSV/8.1.0;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/274.0.0.46.119;FBBV/219237403;FBDM/{density=4.5,width=1440,height=2744};FBLC/en_US;FBRV/221225384;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N950U;FBSV/9;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/273.0.0.39.123;FBBV/218047955;FBDM/{density=2.0,width=720,height=1344};FBLC/en_US;FBRV/0;FBCR/airtel;FBMF/LAVA;FBBD/LAVA;FBPN/com.facebook.katana;FBDV/Z61_2GB;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/274.0.0.46.119;FBBV/219237478;FBDM/{density=3.0,width=1080,height=2192};FBLC/en_US;FBRV/220725958;FBCR/Verizon ;FBMF/motorola;FBBD/motorola;FBPN/com.facebook.katana;FBDV/moto z4;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/266.0.0.56.124;FBBV/209027753;FBDM/{density=2.0,width=720,height=1412};FBLC/en_US;FBRV/0;FBCR/Jio 4G;FBMF/Realme;FBBD/Realme;FBPN/com.facebook.katana;FBDV/RMX1945;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/221.0.0.48.102;FBBV/154683426;FBDM/{density=2.0,width=720,height=1280};FBLC/en_US;FBRV/0;FBCR/VodaCom-SA;FBMF/HMD Global;FBBD/Nokia;FBPN/com.facebook.katana;FBDV/TA-1024;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;]
[FBAN/FB4A;FBAV/274.0.0.46.119;FBBV/219237478;FBDM/{density=4.5,width=1440,height=2711};FBLC/en_US;FBRV/219846921;FBCR/cricket;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N975U1;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
FBAN/Orca-Android;FBAV/267.0.0.15.119	
[FBAN/FB4A;FBAV/273.0.0.39.123;FBBV/218047971;FBDM/{density=2.625,width=1080,height=2342};FBLC/en_US;FBRV/219557400;FBCR/Verizon Wireless;FBMF/LGE;FBBD/lge;FBPN/com.facebook.katana;FBDV/LM-V600;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/273.0.0.39.123;FBBV/218047962;FBDM/{density=3.5,width=1440,height=2935};FBLC/en_US;FBRV/0;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G986U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/273.0.0.39.123;FBBV/218047971;FBDM/{density=2.625,width=1080,height=2047};FBLC/en_US;FBRV/219517567;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G975U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/248.1.0.44.116;FBBV/184540788;FBDM/{density=3.0,width=1080,height=2020};FBLC/en_US;FBRV/186600517;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G970U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/248.1.0.44.116;FBBV/184540683;FBDM/{density=4.0,width=1440,height=2368};FBLC/en_US;FBRV/0;FBCR/Verizon ;FBMF/motorola;FBBD/motorola;FBPN/com.facebook.katana;FBDV/Moto Z (2);FBSV/9;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/273.0.0.39.123;FBBV/218047971;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/219212572;FBCR/cricket;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N950U;FBSV/9;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/268.1.0.54.121;FBBV/211681928;FBDM/{density=4.0,width=1440,height=2368};FBLC/en_US;FBRV/213532798;FBCR/Verizon ;FBMF/motorola;FBBD/motorola;FBPN/com.facebook.katana;FBDV/XT1650;FBSV/8.0.0;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/273.0.0.39.123;FBBV/218047971;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/219186427;FBCR/AT&amp-T;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G965U;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845599;FBDM/{density=3.0,width=1080,height=2076};FBLC/en_US;FBRV/217716541;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N960U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845465;FBDM/{density=2.0,width=1536,height=2048};FBLC/en_US;FBRV/218114099;FBCR/;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-T713;FBSV/7.0;FBBK/1;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845488;FBDM/{density=1.5,width=1200,height=1848};FBLC/en_US;FBRV/217831574;FBCR/;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-T510;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/262.0.0.34.117;FBBV/203997166;FBDM/{density=2.25,width=720,height=1172};FBLC/es_LA;FBRV/205643271;FBCR/BITEL;FBMF/motorola;FBBD/motorola;FBPN/com.facebook.katana;FBDV/Moto E (4) Plus;FBSV/7.1.1;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845599;FBDM/{density=2.625,width=1080,height=2042};FBLC/en_US;FBRV/218008447;FBCR/AT&amp-T;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G973U;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845599;FBDM/{density=2.625,width=1080,height=2047};FBLC/en_US;FBRV/217790254;FBCR/AT&amp-T;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G975U;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845599;FBDM/{density=3.0,width=1080,height=2175};FBLC/en_US;FBRV/217753680;FBCR/Sprint;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G965U;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845599;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/0;FBCR/Sprint;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N950U;FBSV/9;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/271.0.0.55.109;FBBV/215365690;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/216344615;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N960U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845518;FBDM/{density=3.0,width=1080,height=2076};FBLC/en_US;FBRV/217590984;FBCR/AT&amp-T;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G965U;FBSV/8.0.0;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845599;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/217449705;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N960U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/254.0.0.37.125;FBBV/194387493;FBDM/{density=2.0,width=720,height=1344};FBLC/en_US;FBRV/0;FBCR/airtel;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi Y2;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/269.0.0.50.127;FBBV/212783051;FBDM/{density=3.0,width=1080,height=2076};FBLC/en_US;FBRV/0;FBCR/Sprint;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G960U;FBSV/8.0.0;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 LightSpeed [FBAN/MessengerLiteForiOS;FBAV/265.0.0.65.104;FBBV/215460794;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/13.4.1;FBSS/2;FBCR/;FBID/phone;FBLC/en_US;FBOP/0	
[FBAN/FB4A;FBAV/269.0.0.50.127;FBBV/212783075;FBDM/{density=4.0,width=1440,height=2368};FBLC/en_US;FBRV/0;FBCR/Verizon ;FBMF/motorola;FBBD/motorola;FBPN/com.facebook.katana;FBDV/Moto Z (2);FBSV/9;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/263.0.0.46.121;FBBV/205281674;FBDM/{density=2.25,width=720,height=1332};FBLC/en_GB;FBRV/0;FBCR/airtel;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi 6A;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/266.0.0.64.124;FBBV/209629362;FBDM/{density=2.75,width=1080,height=2150};FBLC/en_GB;FBRV/0;FBCR/Ooredoo;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/MI PLAY;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/271.0.0.55.109;FBBV/215365668;FBDM/{density=2.0,width=720,height=1280};FBLC/en_US;FBRV/0;FBCR/airtel;FBMF/Xiaomi;FBBD/Xiaomi;FBPN/com.facebook.katana;FBDV/Redmi 5A;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/MessengerLiteForiOS;FBAV/264.0.0.63.117;FBBV/214112208;FBDV/iPhone10,4;FBMD/iPhone;FBSN/iOS;FBSV/13.4.1;FBSS/2;FBCR/;FBID/phone;FBLC/en_CA;FBOP/0]	
[FBAN/FB4A;FBAV/261.0.0.52.126;FBBV/202681576;FBDM/{density=2.625,width=1080,height=2042};FBLC/en_US;FBRV/0;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G973U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/79.0.0.18.71;FBBV/31009794;FBDM/{density=1.5,width=480,height=854};FBLC/es_LA;FBCR/TELCEL;FBMF/TCT;FBBD/TCT;FBPN/com.facebook.katana;FBDV/ALCATEL ONE TOUCH 7042A;FBSV/4.2.2;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/77.0.0.20.66;FBBV/30034644;FBDM/{density=1.75,width=720,height=1382};FBLC/fr_FR;FBCR/Orange;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A105F;FBSV/9;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/266.0.0.64.124;FBBV/209629372;FBDM/{density=3.5,width=1440,height=2792};FBLC/es_LA;FBRV/0;FBCR/Metro by T-Mobile;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G965F;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/271.0.0.55.109;FBBV/215365690;FBDM/{density=3.0,width=1080,height=2208};FBLC/fr_FR;FBRV/216077496;FBCR/inwi;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH1989;FBSV/9;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/270.1.0.66.127;FBBV/214895087;FBDM/{density=1.5,width=1920,height=1128};FBLC/nl_NL;FBRV/215683036;FBCR/;FBMF/LENOVO;FBBD/Lenovo;FBPN/com.facebook.katana;FBDV/Lenovo TAB 2 A10-70F;FBSV/5.0.1;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/264.0.0.44.111;FBBV/206636710;FBDM/{density=2.0,width=720,height=1344};FBLC/en_US;FBRV/0;FBCR/Idea - Be Safe;FBMF/GIONEE;FBBD/GIONEE;FBPN/com.facebook.katana;FBDV/GIONEE F205 Pro;FBSV/8.1.0;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/258.0.0.34.119;FBBV/199294650;FBDM/{density=2.0,width=720,height=1344};FBLC/en_GB;FBRV/0;FBCR/MTN;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi 6A;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125760;FBDM/{density=1.5,width=480,height=854};FBLC/en_US;FBRV/214902642;FBCR/Qlink;FBMF/ZTE;FBBD/ZTE;FBPN/com.facebook.katana;FBDV/N9137;FBSV/7.1.1;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.1.1;FBBV/4110.0;FBDV/iPad2,1;FBMD/iPad;FBSN/iPhone OS;FBSV/5.1.1;FBSS/1; FBCR/;FBID/tablet;FBLC/en_US;FBSF/1.0]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125784;FBDM/{density=3.375,width=1080,height=1998};FBLC/en_US;FBRV/214902642;FBCR/AT&amp-T;FBMF/LGE;FBBD/lge;FBPN/com.facebook.katana;FBDV/LM-Q710.FGN;FBSV/9;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125792;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/214824289;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G965U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125792;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/214902642;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G955U;FBSV/9;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125792;FBDM/{density=2.625,width=2069,height=1080};FBLC/en_US;FBRV/214786616;FBCR/AT&amp-T;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N975U;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125792;FBDM/{density=4.0,width=1440,height=2768};FBLC/en_US;FBRV/214646499;FBCR/Extended Network;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N960U1;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125759;FBDM/{density=1.0,width=768,height=1024};FBLC/en_US;FBRV/214902642;FBCR/;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-T350;FBSV/7.1.1;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/269.0.0.50.127;FBBV/212783074;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/214496621;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G965U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125792;FBDM/{density=3.0,width=1080,height=2076};FBLC/en_US;FBRV/214902642;FBCR/cricket;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G960U;FBSV/10;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125792;FBDM/{density=2.625,width=1080,height=2094};FBLC/en_US;FBRV/214521896;FBCR/Sprint;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N950U;FBSV/9;FBOP/19;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/270.0.0.57.127;FBBV/214125778;FBDM/{density=2.25,width=720,height=1332};FBLC/en_US;FBRV/214824289;FBCR/cricket;FBMF/Alcatel;FBBD/TCL;FBPN/com.facebook.katana;FBDV/Alcatel_5008R;FBSV/8.1.0;FBOP/19;FBCA/armeabi-v7a:armeabi;]	
Mozilla/5.0 (Windows NT 10.0.15063.413; osmeta 9.3.1233) AppleWebKit/602.1.1 (KHTML, like Gecko) Version/9.0 Safari/602.1.1 osmeta/9.3.1233 Build/1233 [FBAN/FBW;FBAV/93.0.0.64.0;FBBV/62624619;FBDV/WindowsDevice;FBMD/Inspiron 3650;FBSN/Windows;FBSV/10.0.15063.540;FBSS/1;FBCR/;FBID/desktop;FBLC/en_US;FBOP/45;FBRV/0]
[FBAN/FB4A;FBAV/269.0.0.50.127;FBBV/212783074;FBDM/{density=2.75,width=1080,height=2088};FBLC/en_US;FBRV/0;FBCR/Google Fi;FBMF/Google;FBBD/google;FBPN/com.facebook.katana;FBDV/Pixel 3a;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/260.0.0.42.118;FBBV/201518826;FBDM/{density=3.375,width=1080,height=2058};FBLC/en_US;FBRV/203119134;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G965U;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;]	
[FBAN/FB4A;FBAV/263.0.0.46.121;FBBV/205281685;FBDM/{density=4.0,width=1440,height=2768};FBLC/en_US;FBRV/207024646;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N960U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
[FBAN/FB4A;FBAV/269.0.0.50.127;FBBV/212783074;FBDM/{density=2.625,width=1080,height=2047};FBLC/en_US;FBRV/214437585;FBCR/Verizon ;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G975U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;]	
